virus,virusLabel,rankLabel,parent,parentLabel
http://www.wikidata.org/entity/Q91561236,Bat coronavirus RaTG13,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q92050800,Brangacovirus,Untergattung,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q92109366,Pipistrellus kuhlii coronavirus 3398,Art,http://www.wikidata.org/entity/Q57754632,Nyctacovirus
http://www.wikidata.org/entity/Q92109416,Sorex araneus coronavirus T14,Art,http://www.wikidata.org/entity/Q92050731,Soracovirus
http://www.wikidata.org/entity/Q92109468,Suncus murinus coronavirus X74,Art,http://www.wikidata.org/entity/Q92050762,Sunacovirus
http://www.wikidata.org/entity/Q92109519,Myodes coronavirus 2JL14,Art,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q92109575,Eidolon bat coronavirus C704,Art,http://www.wikidata.org/entity/Q57754685,Nobecovirus
http://www.wikidata.org/entity/Q92109633,Goose coronavirus CB17,Art,http://www.wikidata.org/entity/Q92050800,Brangacovirus
http://www.wikidata.org/entity/Q92109690,Avian coronavirus 9203,Art,http://www.wikidata.org/entity/Q57754734,Igacovirus
http://www.wikidata.org/entity/Q92109737,Duck coronavirus 2714,Art,http://www.wikidata.org/entity/Q57754734,Igacovirus
http://www.wikidata.org/entity/Q97709258,Bat SARS CoV Rf1/2004,Art,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q97709416,Bat SARS CoV Rm1/2004,Art,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q97709493,Bat SARS CoV Rp3/2004,Art,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q104450895,Varianten von SARS-CoV2,,http://www.wikidata.org/entity/Q82069695,SARS-CoV-2
http://www.wikidata.org/entity/Q104857014,RmYN02,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105221659,Civet SARS-CoV,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105686530,RacCS203,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105759568,Rc-o319,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105759613,16BO133,Stamm,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105759618,BtKY72,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q105759623,BM48-31,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q106918177,Canine coronavirus HuPn-2018,Art,http://www.wikidata.org/entity/Q57754662,Tegacovirus
http://www.wikidata.org/entity/Q107248454,RpYN06,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q107719644,RhGB01,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q108616377,BANAL-52,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q108616505,BANAL-103,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q116151586,Samovirus,Untergattung,http://www.wikidata.org/entity/Q116148886,Alphapironavirus
